date,holiday
2023-01-01,New Year's Day
2023-01-12,Zanzibar Revolution Day
2023-04-07,Good Friday
2023-04-07,Karume Day
2023-04-10,Easter Monday
2023-04-22,Eid al-Fitr
2023-04-23,Eid al-Fitr (Day 2)
2023-04-26,Union Day
2023-05-01,Labour Day
2023-06-29,Eid al-Adha
2023-07-07,Saba Saba Day
2023-08-08,Nane Nane Day
2023-09-27,Maulid Day
2023-10-14,Nyerere Day
2023-12-09,Independence Day
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year's Day
2024-01-12,Zanzibar Revolution Day
2024-03-29,Good Friday
2024-04-01,Easter Monday
2024-04-07,Karume Day
2024-04-10,Eid al-Fitr
2024-04-11,Eid al-Fitr (Day 2)
2024-04-26,Union Day
2024-05-01,Labour Day
2024-06-16,Eid al-Adha
2024-07-07,Saba Saba Day
2024-08-08,Nane Nane Day
2024-09-16,Maulid Day
2024-10-14,Nyerere Day
2024-12-09,Independence Day
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2025-01-01,New Year's Day
2025-01-12,Zanzibar Revolution Day
2025-03-31,Eid al-Fitr
2025-04-01,Eid al-Fitr (Day 2)
2025-04-07,Karume Day
2025-04-18,Good Friday
2025-04-21,Easter Monday
2025-04-26,Union Day
2025-05-01,Labour Day
2025-06-07,Eid al-Adha
2025-07-07,Saba Saba Day
2025-08-08,Nane Nane Day
2025-09-05,Maulid Day
2025-10-14,Nyerere Day
2025-12-09,Independence Day
2025-12-25,Christmas Day
2025-12-26,Boxing Day
2026-01-01,New Year's Day
2026-01-12,Zanzibar Revolution Day
2026-03-20,Eid al-Fitr
2026-03-21,Eid al-Fitr (Day 2)
2026-04-03,Good Friday
2026-04-06,Easter Monday
2026-04-07,Karume Day
2026-04-26,Union Day
2026-05-01,Labour Day
2026-05-27,Eid al-Adha
2026-07-07,Saba Saba Day
2026-08-08,Nane Nane Day
2026-08-25,Maulid Day
2026-10-14,Nyerere Day
2026-12-09,Independence Day
2026-12-25,Christmas Day
2026-12-26,Boxing Day
