date,disbursement_amount
2023-01-01,49.56
2023-01-02,102.71
2023-01-03,107.47
2023-01-04,92.03
2023-01-05,81.52
2023-01-06,94
2023-01-07,46.82
2023-01-08,41.97
2023-01-09,80.24
2023-01-10,86.35
2023-01-11,80.34
2023-01-12,80.36
2023-01-13,97.12
2023-01-14,25.97
2023-01-15,27.11
2023-01-16,79.91
2023-01-17,77.24
2023-01-18,85.23
2023-01-19,77.93
2023-01-20,87.45
2023-01-21,46.34
2023-01-22,36.21
2023-01-23,83.91
2023-01-24,74.99
2023-01-25,80.31
2023-01-26,84.27
2023-01-27,89.28
2023-01-28,39.91
2023-01-29,39.71
2023-01-30,94.54
2023-01-31,92.72
2023-02-01,124.97
2023-02-02,113.82
2023-02-03,124.69
2023-02-04,45.97
2023-02-05,33.73
2023-02-06,92.51
2023-02-07,79.54
2023-02-08,83.36
2023-02-09,92.55
2023-02-10,109.54
2023-02-11,42.17
2023-02-12,40.47
2023-02-13,89.7
2023-02-14,82.67
2023-02-15,87.26
2023-02-16,88.85
2023-02-17,111.73
2023-02-18,43.32
2023-02-19,30.69
2023-02-20,93.69
2023-02-21,89.47
2023-02-22,87.76
2023-02-23,95.53
2023-02-24,111.86
2023-02-25,46.95
2023-02-26,42.55
2023-02-27,103.94
2023-02-28,107.82
2023-03-01,120.93
2023-03-02,112.25
2023-03-03,131.33
2023-03-04,34.84
2023-03-05,34.32
2023-03-06,97.12
2023-03-07,100.41
2023-03-08,91.88
2023-03-09,98.37
2023-03-10,108.41
2023-03-11,37.72
2023-03-12,43.77
2023-03-13,101.71
2023-03-14,92.31
2023-03-15,101.94
2023-03-16,76.87
2023-03-17,111.45
2023-03-18,42.22
2023-03-19,39.92
2023-03-20,93.28
2023-03-21,80.84
2023-03-22,91.48
2023-03-23,94.98
2023-03-24,115.67
2023-03-25,38.7
2023-03-26,36.97
2023-03-27,89.96
2023-03-28,98.5
2023-03-29,108.97
2023-03-30,103.86
2023-03-31,126.22
2023-04-01,47.74
2023-04-02,52.99
2023-04-03,100.66
2023-04-04,81.96
2023-04-05,81.61
2023-04-06,75.21
2023-04-07,98.4
2023-04-08,39.39
2023-04-09,37.87
2023-04-10,82.71
2023-04-11,75.66
2023-04-12,81.66
2023-04-13,82.16
2023-04-14,92.07
2023-04-15,36.96
2023-04-16,40.36
2023-04-17,95.66
2023-04-18,85.42
2023-04-19,85.95
2023-04-20,83.99
2023-04-21,85.62
2023-04-22,37.86
2023-04-23,38.4
2023-04-24,99.34
2023-04-25,83.44
2023-04-26,86.43
2023-04-27,84.45
2023-04-28,104.98
2023-04-29,50.7
2023-04-30,48.37
2023-05-01,122.5
2023-05-02,112.34
2023-05-03,126.25
2023-05-04,85.89
2023-05-05,112.01
2023-05-06,55.61
2023-05-07,36.54
2023-05-08,91.05
2023-05-09,95.08
2023-05-10,91.49
2023-05-11,85.25
2023-05-12,109.18
2023-05-13,36.21
2023-05-14,45.44
2023-05-15,89.17
2023-05-16,104.02
2023-05-17,90.06
2023-05-18,92.86
2023-05-19,113.94
2023-05-20,35.3
2023-05-21,44.07
2023-05-22,102.78
2023-05-23,85.33
2023-05-24,96.11
2023-05-25,96.6
2023-05-26,114.03
2023-05-27,35.38
2023-05-28,34.89
2023-05-29,112.59
2023-05-30,111.28
2023-05-31,111.04
2023-06-01,121.18
2023-06-02,132.94
2023-06-03,55.03
2023-06-04,44.68
2023-06-05,91.14
2023-06-06,106.65
2023-06-07,98.34
2023-06-08,88.38
2023-06-09,113.84
2023-06-10,37.17
2023-06-11,47.76
2023-06-12,102.62
2023-06-13,90.78
2023-06-14,101.52
2023-06-15,98.25
2023-06-16,115.11
2023-06-17,54.51
2023-06-18,41.67
2023-06-19,91.39
2023-06-20,90.61
2023-06-21,91.09
2023-06-22,95.56
2023-06-23,112.51
2023-06-24,44.9
2023-06-25,48.22
2023-06-26,96.24
2023-06-27,104.92
2023-06-28,109.08
2023-06-29,127.03
2023-06-30,131.11
2023-07-01,49.05
2023-07-02,47.78
2023-07-03,123.4
2023-07-04,95.1
2023-07-05,100.76
2023-07-06,99.35
2023-07-07,110.59
2023-07-08,38.38
2023-07-09,34.39
2023-07-10,93.97
2023-07-11,101.82
2023-07-12,98
2023-07-13,89.28
2023-07-14,112.35
2023-07-15,45.88
2023-07-16,38.28
2023-07-17,97.82
2023-07-18,97.28
2023-07-19,90.11
2023-07-20,99.15
2023-07-21,114.95
2023-07-22,50.18
2023-07-23,50.02
2023-07-24,88.87
2023-07-25,91.55
2023-07-26,100.3
2023-07-27,100.33
2023-07-28,114.96
2023-07-29,73.48
2023-07-30,53.8
2023-07-31,118.81
2023-08-01,127.5
2023-08-02,125.73
2023-08-03,119.97
2023-08-04,116.71
2023-08-05,39.27
2023-08-06,42.5
2023-08-07,94.72
2023-08-08,98.16
2023-08-09,111.59
2023-08-10,86.53
2023-08-11,116.55
2023-08-12,34.34
2023-08-13,41.2
2023-08-14,104.41
2023-08-15,98.3
2023-08-16,91.48
2023-08-17,93.69
2023-08-18,116.79
2023-08-19,39.74
2023-08-20,45.44
2023-08-21,98.39
2023-08-22,94.25
2023-08-23,111.05
2023-08-24,102.03
2023-08-25,100.85
2023-08-26,45.35
2023-08-27,40.28
2023-08-28,103.48
2023-08-29,108.4
2023-08-30,112.51
2023-08-31,116.27
2023-09-01,146.8
2023-09-02,48.23
2023-09-03,53.44
2023-09-04,95.76
